,year,USD,GBP,EUR,CAD
0,2003,1.0,0.6202917898,0.9535615524,1.5781443692
1,2004,1.0,0.5580364212,0.7917656374,1.2853523357
2,2005,1.0,0.5176198517,0.7341604875,1.2051978563
3,2006,1.0,0.5809104009,0.8476731372,1.1634313809
4,2007,1.0,0.5098709188,0.7593014427,1.1602885345
5,2008,1.0,0.4981658855,0.6793016779,0.9815229944
6,2009,1.0,0.6844147446,0.7185456636,1.2213839189
7,2010,1.0,0.6164792448,0.6941552131,1.0501180064
8,2011,1.0,0.6441775183,0.7483909594,0.9970064362
9,2012,1.0,0.6455676637,0.7728572533,1.0213308602
10,2013,1.0,0.6185387297,0.7579202668,0.9956798545
11,2014,1.0,0.60452469,0.7251105794,1.063809731
12,2015,1.0,0.6415451775,0.8236553826,1.1583065645
13,2016,1.0,0.6741526591,0.9185266832,1.3884449343
14,2017,1.0,0.8122379281,0.9486765961,1.3459823546
15,2018,1.0,0.7397898774,0.8338197282,1.2539814892
16,2019,1.0,0.7812489083,0.8733624454,1.3628820961
17,2020,1.0,0.7573437778,0.890154887,1.299448104
18,2021,1.0,0.7326460761,0.8149295086,1.2739793008
19,2022,1.0,0.7247535505,0.8354218881,1.2493734336
20,2023,1.0,0.7247535505,0.8354218881,1.2493734336
21,2024,1.0,0.7247535505,0.8354218881,1.2493734336
